?o	?gid	?name	?wkt
183	97772	Heidweiler	"POINT(6.746 49.911)"
184	95708	Peffingen	"POINT(6.407 49.909)"
185	100611	Pohlbach	"POINT(6.881 49.909)"
186	96258	Nieder-Olm	"POINT(8.203 49.909)"
187	97351	Windesheim	"POINT(7.816 49.906)"
188	96276	Engelstadt	"POINT(8.064 49.902)"
189	95598	Lindenschied	"POINT(7.392 49.902)"
190	100129	Horrweiler	"POINT(7.964 49.898)"
191	94820	Idenheim	"POINT(6.57 49.898)"
192	96700	Laufersweiler	"POINT(7.308 49.897)"
193	94915	Orenhofen	"POINT(6.653 49.896)"
194	96733	Gemünden	"POINT(7.481 49.896)"
195	96506	Münchwald	"POINT(7.676 49.896)"
196	96157	Kleinich	"POINT(7.187 49.893)"
197	100795	Longkamp	"POINT(7.12 49.891)"
198	96217	Biesdorf	"POINT(6.304 49.887)"
199	97360	Gehlweiler	"POINT(7.468 49.883)"
200	93952	Burgen	"POINT(7 49.881)"
201	95770	Bretzenheim	"POINT(7.898 49.88)"
202	98389	Rivenich	"POINT(6.847 49.878)"
203	100981	Nieder-Saulheim	"POINT(8.156 49.876)"
204	100910	Kaschenbach	"POINT(6.481 49.875)"
205	96059	Hofweiler	"POINT(6.623 49.868)"
206	95986	Vendersheim	"POINT(8.067 49.867)"
207	98927	Rhaunen	"POINT(7.347 49.864)"
208	101133	Roxheim	"POINT(7.812 49.864)"
209	98270	Wederath	"POINT(7.163 49.863)"
210	99071	Schwabsburg	"POINT(8.313 49.863)"
211	94100	Hahnheim	"POINT(8.238 49.862)"
212	100096	Sprendlingen	"POINT(7.987 49.861)"
213	99089	Föhren	"POINT(6.763 49.858)"
214	101043	Eisenach	"POINT(6.51 49.851)"
215	101064	Stipshausen	"POINT(7.292 49.849)"
216	99004	Neumagen-Dhron / Neumagen-Dhron / Neumagen / Neumagen	"POINT(6.894 49.849)"
217	97143	Daubach	"POINT(7.634 49.846)"
218	99963	Seesbach	"POINT(7.546 49.846)"
219	100713	Bosenheim	"POINT(7.915 49.845)"
220	97014	Wörrstadt	"POINT(8.114 49.84)"
221	97211	Detzem	"POINT(6.845 49.823)"
222	97035	Hüffelsheim	"POINT(7.799 49.822)"
223	98530	Hellertshausen	"POINT(7.274 49.821)"
224	97358	Hennweiler	"POINT(7.435 49.82)"
225	99541	Waldböckelheim	"POINT(7.721 49.819)"
226	97497	Bischofsdhron	"POINT(7.151 49.818)"
227	100461	Butzweiler	"POINT(6.618 49.815)"
228	96429	Weinolsheim	"POINT(8.272 49.815)"
229	99384	Wickenrodt	"POINT(7.357 49.815)"
230	97348	Olk	"POINT(6.552 49.814)"
231	98220	Horath	"POINT(6.986 49.812)"
232	96670	Weiperath	"POINT(7.071 49.804)"
233	98954	Monzingen	"POINT(7.591 49.801)"
234	95383	Kenn	"POINT(6.724 49.8)"
235	94521	Heidenburg	"POINT(6.918 49.799)"
236	96033	Guntersblum	"POINT(8.346 49.797)"
237	95499	Biebelnheim	"POINT(8.17 49.796)"
238	99019	Mörschied	"POINT(7.303 49.787)"
239	99794	Flonheim	"POINT(8.037 49.786)"
240	98026	Duchroth	"POINT(7.739 49.783)"
241	99978	Wonsheim	"POINT(7.964 49.782)"
242	96583	Altenbamberg	"POINT(7.832 49.781)"
243	97240	Wintersheim	"POINT(8.282 49.778)"
244	99330	Meckenbach	"POINT(7.506 49.778)"
245	99034	Fürfeld	"POINT(7.891 49.777)"
246	96329	Meddersheim	"POINT(7.616 49.777)"
247	99204	Hoxel	"POINT(7.1 49.776)"
248	95468	Sensweiler	"POINT(7.196 49.774)"
249	93886	Mertesdorf	"POINT(6.737 49.773)"
250	94509	Albig	"POINT(8.117 49.773)"
251	101007	Berschweiler bei Kirn	"POINT(7.392 49.77)"
252	98039	Wendelsheim	"POINT(7.991 49.765)"
253	94729	Sirzenich	"POINT(6.593 49.765)"
254	94748	Kirschroth	"POINT(7.574 49.762)"
255	95840	Talling	"POINT(6.953 49.761)"
256	95588	Trier / Trier / Trier / Trier / Trier / Treves / Treves / Treves / Treves / Treves / Tréveris / Tréveris / Tréveris / Tréveris / Tréveris / Treviri / Treviri / Treviri / Treviri / Treviri / Trèves / Trèves / Trèves / Trèves / Trèves	"POINT(6.637 49.757)"
257	97643	Bescheid	"POINT(6.89 49.753)"
258	96107	Mörsfeld	"POINT(7.933 49.744)"
259	99151	Alzey	"POINT(8.115 49.743)"
260	94465	Thomm	"POINT(6.803 49.742)"
261	97719	Vollmersbach	"POINT(7.308 49.742)"
262	95969	Hettenrodt	"POINT(7.251 49.741)"
263	100427	Lauschied	"POINT(7.62 49.741)"
264	97986	Rehborn	"POINT(7.687 49.735)"
265	98472	Hilscheid	"POINT(7.004 49.732)"
266	95250	Niedermoschel	"POINT(7.793 49.732)"
267	97394	Hamm am Rhein	"POINT(8.434 49.731)"
268	96353	Weierbach	"POINT(7.396 49.728)"
269	99117	Bechtheim	"POINT(8.292 49.727)"
270	99799	Kernscheid	"POINT(6.686 49.724)"
271	97498	Hochborn	"POINT(8.201 49.724)"
272	96766	Liersberg	"POINT(6.538 49.722)"
273	93955	Mauchenheim	"POINT(8.045 49.718)"
274	95656	Rascheid	"POINT(6.936 49.713)"
275	96660	Kriegsfeld	"POINT(7.914 49.71)"
276	99364	Oberreidenbach	"POINT(7.461 49.706)"
277	94737	Breitenheim	"POINT(7.632 49.698)"
278	98919	Mannweiler / Mannweiler / Mannweiler-Cölln / Mannweiler-Cölln	"POINT(7.803 49.696)"
279	93934	Kirchenbollenbach	"POINT(7.408 49.694)"
280	98179	Orbis	"POINT(7.994 49.694)"
281	95723	Niedermennig	"POINT(6.632 49.693)"
282	101062	Schmittweiler	"POINT(7.705 49.691)"
283	97110	Börfink	"POINT(7.08 49.69)"
284	98581	Oberhambach	"POINT(7.157 49.686)"
285	99008	Niederbrombach	"POINT(7.243 49.686)"
286	100406	Ober-Flörsheim	"POINT(8.155 49.684)"
287	97863	Bermersheim	"POINT(8.224 49.682)"
288	97060	Fellerich	"POINT(6.496 49.68)"
289	97217	Holzerath	"POINT(6.763 49.679)"
290	96597	Reinsfeld	"POINT(6.877 49.676)"
291	96848	Kappeln	"POINT(7.571 49.676)"
292	97652	Damflos	"POINT(6.988 49.667)"
293	100810	Medard	"POINT(7.609 49.666)"
294	96431	Dielkirchen	"POINT(7.816 49.662)"
295	96617	Oberemmel	"POINT(6.63 49.66)"
296	96162	Gauersheim	"POINT(8.073 49.66)"
297	98579	Buhlenberg	"POINT(7.12 49.655)"
298	94359	Wawern	"POINT(6.55 49.652)"
299	95194	Flörsheim-Dalsheim	"POINT(8.21 49.652)"
300	99927	Nittel	"POINT(6.451 49.652)"
301	99580	Lampaden	"POINT(6.702 49.649)"
302	95196	Ruppertsecken	"POINT(7.881 49.645)"
303	99446	Bisterschied	"POINT(7.749 49.645)"
304	100948	Reichenbach	"POINT(7.285 49.64)"
305	99725	Bolanden	"POINT(8.012 49.64)"
306	96444	Nohen	"POINT(7.242 49.639)"
307	94658	Wiesweiler	"POINT(7.569 49.637)"
308	100951	Kell am See	"POINT(6.822 49.635)"
309	100483	Gusenburg	"POINT(6.902 49.635)"
310	97690	Marnheim	"POINT(8.04 49.633)"
311	95125	Worms	"POINT(8.362 49.63)"
312	99617	Nussbach	"POINT(7.695 49.629)"
313	97006	Dannenfels	"POINT(7.945 49.627)"
314	99482	Bubenheim	"POINT(8.121 49.627)"
315	96600	Achtelsbach	"POINT(7.09 49.625)"
316	100403	Hentern	"POINT(6.694 49.618)"
317	94933	Baumholder	"POINT(7.341 49.615)"
318	99188	Heimbach	"POINT(7.249 49.614)"
319	94206	Falkenstein	"POINT(7.874 49.609)"
320	95879	Wincheringen	"POINT(6.428 49.609)"
